rank,as_of,canonical_title,role,platform,score,sources,trend_title,event,reasons
1,2026-08-25,Marvel's Wolverine,game,PlayStation 5,258.0,event_window,,PAX West,"Promote Marvel's Wolverine with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote Marvel's Wolverine with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in. || Promote Marvel's Wolverine as the storefront equivalent of Busan Indie Connect Festival (Indie / Korea, Marvel's Wolverine) for the full event runtime 2026-08-21 to 2026-08-23, with a expo lead-in and afterglow around those dates. || Promote Marvel's Wolverine as the storefront equivalent of Gamescom Opening Night Live (Marvel's Wolverine, EA SPORTS FC 27, Madden NFL 27, NBA 2K27) for the full event runtime 2026-08-25 to 2026-08-25, with a expo lead-in and afterglow around those dates."
2,2026-08-25,NBA 2K27,game,Steam,198.0,event_window,,PAX West,"Promote NBA 2K27 as the storefront equivalent of Busan Indie Connect Festival (Indie / Korea, Marvel's Wolverine) for the full event runtime 2026-08-21 to 2026-08-23, with a expo lead-in and afterglow around those dates. || Promote NBA 2K27 as the storefront equivalent of Gamescom Opening Night Live (Marvel's Wolverine, EA SPORTS FC 27, Madden NFL 27, NBA 2K27) for the full event runtime 2026-08-25 to 2026-08-25, with a expo lead-in and afterglow around those dates. || Promote NBA 2K27 as the storefront equivalent of Gamescom Opening Night Live 2026 (Marvel's Wolverine, EA SPORTS FC 27, Madden NFL 27, NBA 2K27) for the full event runtime 2026-08-25 to 2026-08-25, with a expo lead-in and afterglow around those dates. || Promote NBA 2K27 as the storefront equivalent of Future Games Show at Gamescom (Marvel's Wolverine, EA SPORTS FC 27, Madden NFL 27, NBA 2K27) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates."
3,2026-08-25,Madden NFL 27,game,Nintendo,48.0,event_window,,NFL Season,"Promote Madden NFL 27 as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-08-14 to 2026-08-28, with a default lead-in and afterglow around those dates. || Promote Madden NFL 27 as the storefront equivalent of NFL Season (Madden NFL, Madden NFL 27) for the full event runtime 2026-09-04 to 2027-02-08, with a sports lead-in and afterglow around those dates."
4,2026-08-25,Deadpool Uncut,game,Steam,48.0,event_window,,Spider-Man: Brand New Day,"Promote Deadpool Uncut with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote Deadpool Uncut with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
5,2026-08-25,LEGO MARVEL COLLECTION,game,Xbox Live,48.0,event_window,,Spider-Man: Brand New Day,"Promote LEGO MARVEL COLLECTION with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote LEGO MARVEL COLLECTION with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
6,2026-08-25,LEGO Marvel Avengers,game,Steam,48.0,event_window,,Spider-Man: Brand New Day,"Promote LEGO Marvel Avengers with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote LEGO Marvel Avengers with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
7,2026-08-25,LEGO Marvel Super Heroes,game,Xbox Live,48.0,event_window,,Spider-Man: Brand New Day,"Promote LEGO Marvel Super Heroes with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote LEGO Marvel Super Heroes with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
8,2026-08-25,LEGO Marvel Super Heroes 2,game,Xbox Live,48.0,event_window,,Spider-Man: Brand New Day,"Promote LEGO Marvel Super Heroes 2 with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote LEGO Marvel Super Heroes 2 with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
9,2026-08-25,LEGO Marvel Super Heroes Bundle,game,Steam,48.0,event_window,,Spider-Man: Brand New Day,"Promote LEGO Marvel Super Heroes Bundle with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote LEGO Marvel Super Heroes Bundle with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
10,2026-08-25,LEGO Marvel's Avengers,game,Xbox Live,48.0,event_window,,Spider-Man: Brand New Day,"Promote LEGO Marvel's Avengers with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote LEGO Marvel's Avengers with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
11,2026-08-25,LEGO: Marvel's Avengers Deluxe Edition,game,Xbox Live,48.0,event_window,,Spider-Man: Brand New Day,"Promote LEGO: Marvel's Avengers Deluxe Edition with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote LEGO: Marvel's Avengers Deluxe Edition with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
12,2026-08-25,MARVEL Cosmic Invasion,game,Nintendo,48.0,event_window,,Spider-Man: Brand New Day,"Promote MARVEL Cosmic Invasion with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote MARVEL Cosmic Invasion with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel's Wolverine) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
