as_of,kind,change_type,title,field,before,after,source,detail
2026-08-31,product,added,A Tiny Wander,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Aeterna Lucis,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Alzara: Radiant Echoes,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Animal Use Protocol,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Blind Descent,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Bogdan's Cross,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Bokosuka Wars II,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Castaway Diary: Portal to the Unknown Isles,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Castle Come,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Control: Ultimate Edition,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Corpse Party II: Darkness Distortion,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Cosmo Tales,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Crystals of Irm,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Destiny Code,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Don't Kill Them All,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,DriveCrazy,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,EDEN.schemata();,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Endurance Motorsport Series,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Fate/EXTRA Record,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Final Formation,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Forge of the Fae,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Frostrail,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Golf With Your Friends 2,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Haruka: Beyond the Stars,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Hell of an Office,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Hunting Simulator 3,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Junxions,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Light Odyssey,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Lost Hellden,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Marvel 1943: Rise of Hydra,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Mightreya,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Mononoke no Kuni,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Nocturnal II,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Paranormal Activity: Found Footage,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Pararecords,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Professor Layton and the New World of Steam,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Prolegomena To a Hyperdimensional Interface That Will Be Able to Manifest From Three-Minute Interchanges,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Re:Ver Project: Tokyo,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Recur,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,"Reggie, His Cousin, Two Scientists and Most Likely the End of the World",presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,SacriFire,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Scriptorium: Master of Manuscripts,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Sea of Sorrow,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Serial World,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Sigma Star Saga,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Silent Planet,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Skateboard Knight,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Skyblivion,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Starfinder: Afterlight,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Steampunk Shinobi,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Sunkissed City,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Tanuki: Pon's Summer,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Tenet of the Spark,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Ultra Mushroom,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Valkyrie of Phantasm,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Wolfhound,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Zaleste,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,SpongeBob: Krusty Cook-Off,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Tomba! Special Edition,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Fairy Tail: Dungeons,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,I Am Future,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,The Brew Barons,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Hytale,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Temirana: The Lucky Princess and the Tragic Knights,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Animal Crossing: New Horizons,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,The Legend of Heroes: Trails Beyond the Horizon,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Mio: Memories in Orbit,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Arknights: Endfield,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,"Dwarves: Glory, Death and Loot",presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Dynasty Warriors: Origins,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,The Rumble Fish 2,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Fighting Force Collection,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Viractal,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Speedball,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Steel Century Groove,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,City Tales: Medieval Era,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Dusk Index: Gion,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Project: Gorgon,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Front Mission 3: Remake,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Jimmy and the Pulsating Mass,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,PUBG: BLINDSPOT,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,JDM: Japanese Drift Master,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Fantasista Asuka,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Kingdom Come: Deliverance,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Caves of Qud,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Earnest Evans Collection,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Soulslinger: Envoy of Death,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,PC Building Simulator 2,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,The Fox's Way Home,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Japanese Rural Life Adventure,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Never Grave: The Witch and The Curse,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Methods: The Canada Files,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Peregrino,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Piece by Piece,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,The Liar Princess and the Blind Prince,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Yomawari: Lost in the Dark,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Pode,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Rustil: Eternal Labyrinth Castle,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Tower Tag,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Shadow Tactics: Blades of the Shogun,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Dragonkin: The Banished,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,The Coin Game,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,The Little Tomb: The Maholova Club and the Search for a Dead Body,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Mado Monogatari: Fia and the Wondrous Academy,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Tales of the Shire: A The Lord of the Rings Game,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Shinonome Abyss: The Maiden Exorcist,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,The Fifth Family,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Homura: The Crimson Warriors,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Lilac,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Castle of Shikigami III,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,MotionRec,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,The Weeping Swan: Ten Days of the City's Fall,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,The New Denpa Men,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Chill with You: Lo-Fi Story,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Faith: The Unholy Trinity,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Memories Off Sōsō: Break out of my shell,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Skautfold: Moonless Knight,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Calamity Angels: Special Delivery,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Mongil: Star Dive,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Ereban: Shadow Legacy,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,OPUS: Prism Peak,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Smash It Wild,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Task Time,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Anemoi,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Mahou Arms,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Snail's Knock Out,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Spy Drops,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,WILL: Follow The Light,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Neverness to Everness,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Amnesia: Rebirth,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Heroes of Might and Magic: Olden Era,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Prius Online,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Axe Cop,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Haneda Girl,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Corebreaker,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Smalland: Survive the Wilds,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Corsairs: Battle of the Caribbean,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,"Warhammer 40,000: Mechanicus II",presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,"Warhammer 40,000: Speed Freeks",presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Birushana: Winds of Fate,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,LumenTale: Memories of Trey,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Age of Empires II: Definitive Edition,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Tetris the Grandmaster 4: Absolute Eye,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Gothic Remake,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Atelier Yumia: The Alchemist of Memories & the Envisioned Land,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Unrailed! 2: Back on Track,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,UsoNatsu,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,and Roger,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Citizen Sleeper 2: Starward Vector,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,My Merry May with be,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Saeko: Giantess Dating Sim,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Deathbulge: Battle of the Bands,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Undergrounded,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Star Ocean: The Second Story R,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Dreamin' Her,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,The Dream Of A Cockspur,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Suika Game,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Prelude: Dark Pain,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,BOKURA,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Fuga: Melodies of Steel,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Ira,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Kusan: City of Wolves,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,The Relic: First Guardian,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Cotton Rock With You,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Brave Dungeon: The Meaning of Justice,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Fantasy Life i: The Girl Who Steals Time,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Nostalgic Train,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,The Legend of Dark Witch,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Mind Diver,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Angeline Era,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Withering Realms,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,Hashire Hebereke: EX,presence,,added,wikidata,New product entered the live dataset
2026-08-31,product,added,In Falsus,presence,,added,wikidata,New product entered the live dataset
