rank,as_of,canonical_title,role,platform,score,sources,trend_title,event,reasons
1,2026-09-03,Ghost of Yōtei,game,PlayStation 5,78.0,event_window,,PlayStation State of Play September 2026,"Promote Ghost of Yōtei as the storefront equivalent of Ghost of Tsushima (Ghost of Tsushima, Ghost of Yōtei) for the full event runtime 2026-01-01 to 2026-12-31, with a adaptation lead-in and afterglow around those dates. || Promote Ghost of Yōtei as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote Ghost of Yōtei as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Marvel 1943: Rise of Hydra) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
2,2026-09-03,God of War Laufey,game,PS5,78.0,event_window,,PlayStation State of Play September 2026,"Promote God of War Laufey as the storefront equivalent of God of War (God of War, God of War: Sons of Sparta) for the full event runtime 2026-01-01 to 2026-12-31, with a adaptation lead-in and afterglow around those dates. || Promote God of War Laufey as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote God of War Laufey as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Marvel 1943: Rise of Hydra) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
3,2026-09-03,God of War: Sons of Sparta,game,PS5,78.0,event_window,,PlayStation State of Play September 2026,"Promote God of War: Sons of Sparta as the storefront equivalent of God of War (God of War, God of War: Sons of Sparta) for the full event runtime 2026-01-01 to 2026-12-31, with a adaptation lead-in and afterglow around those dates. || Promote God of War: Sons of Sparta as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote God of War: Sons of Sparta as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Marvel 1943: Rise of Hydra) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
4,2026-09-03,Marvel Tokon: Fighting Souls,game,WIN,78.0,event_window,,PlayStation State of Play September 2026,"Promote Marvel Tokon: Fighting Souls with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote Marvel Tokon: Fighting Souls as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote Marvel Tokon: Fighting Souls as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Marvel 1943: Rise of Hydra) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
5,2026-09-03,Marvel's Wolverine,game,PlayStation 5,78.0,event_window,,PlayStation State of Play September 2026,"Promote Marvel's Wolverine with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote Marvel's Wolverine as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote Marvel's Wolverine as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Marvel 1943: Rise of Hydra) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
6,2026-09-03,Marvel's Spider-Man 2,game,Steam,49.0,wikipedia_pageviews|event_window,,X-Men '97 season 2,"Wikipedia interest in “Spider-Man” is 1.76× the recent baseline (14,444 vs 8,219 daily views, as of 2026-09-02). || Promote Marvel's Spider-Man 2 with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in."
7,2026-09-03,Astro Bot,game,PSN,48.0,event_window,,PlayStation State of Play September 2026,"Promote Astro Bot as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote Astro Bot as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Marvel 1943: Rise of Hydra) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
8,2026-09-03,Bloodborne,game,PSN,48.0,event_window,,PlayStation State of Play September 2026,"Promote Bloodborne as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote Bloodborne as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Marvel 1943: Rise of Hydra) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
9,2026-09-03,Death Stranding 2: On the Beach,game,WIN,48.0,event_window,,PlayStation State of Play September 2026,"Promote Death Stranding 2: On the Beach as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote Death Stranding 2: On the Beach as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Marvel 1943: Rise of Hydra) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
10,2026-09-03,Hashire Hebereke: EX,game,Multi,48.0,event_window,,Hashire Hebereke: EX release window,"Promote Hashire Hebereke: EX as the storefront equivalent of Hashire Hebereke: EX (Hashire Hebereke) for the full event runtime 2026-09-03 to 2026-09-03, with a adaptation lead-in and afterglow around those dates. || Promote Hashire Hebereke: EX as the storefront equivalent of Hashire Hebereke: EX release window (Hashire Hebereke: EX) for the full event runtime 2026-09-03 to 2026-09-17, with a default lead-in and afterglow around those dates."
